symbol,name,exchange,currency,sector,industry,is_etf,is_fund
"PERFEPA.BO","Perfectpac Limited","BSE","INR","Consumer Cyclical","Packaging & Containers",False,False
"SUKHJITS.BO","The Sukhjit Starch & Chemicals Limited","BSE","INR","Basic Materials","Chemicals - Specialty",False,False
"VELJAN.BO","Veljan Denison Limited","BSE","INR","Industrials","Industrial - Machinery",False,False
"NA.F","Exasol AG","FSX","EUR","Technology","Software - Application",False,False
"8238.HK","Winto Group (Holdings) Limited","HKSE","HKD","Communication Services","Advertising Agencies",False,False
"OSMEN.IS","Osmanli Yatirim Menkul Degerler A.S.","IST","USD","Financial Services","Financial - Capital Markets",False,False
"DSSA.JK","PT Dian Swastatika Sentosa Tbk","JKT","USD","Energy","Coal",False,False
"6668.T","Adtec Plasma Technology Co., Ltd.","JPX","JPY","Industrials","Electrical Equipment & Parts",False,False
"NA.KQ","Pharos Ibio Co Ltd","KOE","KRW","Healthcare","Biotechnology",False,False
"3LRR.L","GraniteShares 3x Long Rolls-Royce Daily ETC","LSE","GBP","Financial Services","Asset Management",True,False
"VILX.L","WisdomTree S&P 500 VIX Short-Term Futures 2.25x Daily Leveraged","LSE","GBP","Financial Services","Asset Management - Leveraged",False,False
"ASTI","Ascent Solar Technologies, Inc. Common Stock","NASDAQ","USD","Energy","Solar",False,False
"ESGE","iShares ESG Aware MSCI EM ETF","NASDAQ","USD","Financial Services","Asset Management",True,False
"TOPS","Top Ships Inc.","NASDAQ","USD","Industrials","Marine Shipping",False,False
"XTIA","XTI Aerospace, Inc.","NASDAQ","USD","Industrials","Aerospace & Defense",False,False
"TGS","Transportadora de Gas del Sur S.A.","NYSE","USD","Energy","Oil & Gas Integrated",False,False
"CDIX","Cardiff Lexington Corporation","OTC","USD","Financial Services","Asset Management",False,False
"HIPH","American Premium Mining Corporation","OTC","USD","Financial Services","Financial - Capital Markets",False,False
"ICNM","Icon Media Holdings, Inc.","OTC","USD","Financial Services","Shell Companies",False,False
"PIAIF","Ping An Insurance (Group) Company of China, Ltd.","OTC","USD","Financial Services","Insurance - Life",False,False
"RAKR","Rainmaker Worldwide Inc.","OTC","USD","Industrials","Industrial - Pollution & Treatment Controls",False,False
"REAC","REAC Group, Inc.","OTC","USD","Real Estate","Real Estate - Services",False,False
"SONG","Music Licensing, Inc.","OTC","USD","Communication Services","Entertainment",False,False
"ALALO.PA","Acheter-Louer.Fr S.A.","PAR","EUR","Communication Services","Advertising Agencies",False,False
"ALNEV.PA","Neovacs S.A.","PAR","EUR","Healthcare","Biotechnology",False,False
"ALSAF.PA","Safe Orthopaedics S.A.","PAR","EUR","Healthcare","Medical - Instruments & Supplies",False,False
"ALVER.PA","Vergnet S.A.","PAR","EUR","Utilities","Independent Power Producers",False,False
"FTSE.PA","Amundi MSCI UK IMI SRI UCITS ETF DR - GBP","PAR","EUR","Financial Services","Asset Management",True,False
"BINI","Bollinger Innovations, Inc.","PNK","USD","Consumer Cyclical","Auto - Manufacturers",False,False
"603262.SS","TSI Group Co Ltd","SHH","CNY","Healthcare","Medical - Pharmaceuticals",False,False
"603406.SS","Yangzhou Tinfulong Grp Co Ltd","SHH","CNY","Basic Materials","Chemicals - Specialty",False,False
